layer,time,day,year,heat,temp,area
1,6,1,2018,0,20,srimangal
2,6,1,2018,0,20,srimangal
3,6,1,2018,0,20,srimangal
1,6,1,2018,0,20,khulna
2,6,1,2018,0,20,khulna
3,6,1,2018,0,20,khulna
"1",1,6,1,20,0,15,"srimangal"
"2",2,6,1,20,0,15,"srimangal"
"3",3,6,1,20,0,15,"srimangal"
"4",1,6,1,20,0,11.4421662,"khulna"
"5",2,6,1,20,0,11.4421662,"khulna"
"6",3,6,1,20,0,11.4421662,"khulna"
